failed_refIso_Analysis,failed_refIso_Identifier1,failed_refIsoSD_d18O16O,failed_refIsoSD_d13C12C,failed_refIsoSD_reason
2115,L1,0.032299234873796,0.139484817219916,d13C12C
2490,LW,0.0576801873113301,0.122124996716783,d13C12C
2728,L5,0.0252013318923472,0.114801006933071,d13C12C
2755,MgSO4_L_+_NaCl_U,0.123589853562925,0.0623579115593622,d18O16O
2957,LW,0.0559631028576543,0.102881075263647,d13C12C
3228,H1,0.0417599350763194,0.123115363301147,d13C12C
3236,NaHCO3_L,0.142620299194603,0.0908315645332104,d18O16O
3264,NaHCO3_L_,0.038664207345022,0.282755005296327,d13C12C
3549,MgSO4_L,0.119871692628716,0.0601415062743358,d18O16O
3785,MgSO4_L_+_NaHCO3_L,0.349055586048266,0.0158458665871398,d18O16O
3825,Na2SO4_L_+_NaCl_U,515.012388469729,1797.10188402669,d13C12C_d18O16O
4232,L1,0.0630343249287326,0.112829223076746,d13C12C
4919,H1,0.0491303113459748,0.132442872057981,d13C12C
4967,MgSO4_L_+_NaCl_L,0.582456775329747,0.0249939825777653,d18O16O
