failed_RefSampInt_Analysis,failed_RefSampInt_Identifier1,failed_RefSampInt_RelDiff
2147,NAHCO3 UPPER,0.858969953714333
2148,NAHCO3 UPPER,0.859557217966135
2149,NAHCO3 UPPER,0.85977254595207
2150,NAHCO3 UPPER,0.859561341369844
2151,NAHCO3 UPPER,0.857164863806063
2530,NAHCO3 UPPER,0.905196949411155
2558,MgSO4 LWR,0.892212201363459
2964,NaHCO3 U,0.878370700978505
2967,NaHCO3 U+NaCl L,0.893810701333521
2974,NaHCO3 U+NaCl L,0.884175581078935
2982,NaHCO3 U+NaCl L,0.88300476047352
2971,NaHCO3 U+NaCl U,0.892449683522428
2994,NaHCO3 U+NaCl U,0.903713122633915
2997,NaHCO3 U,0.889112874882252
2999,NaHCO3 U,0.888295702965002
3000,NaHCO3 U+NaCl U,0.902899764331572
3165,MgSO4 L + NaHCO3 L,0.759882571817138
3173,NaHCO3 U + NaCl U,0.890619255844916
3757,Na2SO4 L + NaHCO3 U,0.973224395160396
3765,NaCl L,0.973055450954373
3778,Na2SO4 L,0.974169025494784
3863,Na2SO4 L + NaHCO3 U,0.793514882920728
4181,NaHCO3 U + NaCl U,0.765110374020752
4185,MgSO4 L + NaCl U,0.779387204175598
4183,Na2SO4 L + NaHCO3 U,0.786193892256477
4198,Na2SO4 L + NaHCO3 U,0.778299228204575
4225,Na2SO4 L + NaHCO3 U,0.792520005046499
4249,Na2SO4 L + NaHCO3 U,0.790092950576671
4211,NaCl U,0.805933766080436
4190,NaHCO3 U + NaCl U,0.766333207639269
4213,NaHCO3 U + NaCl U,0.77150391267609
4247,NaHCO3 U + NaCl U,0.773747393373876
4256,NaHCO3 U + NaCl U,0.779503140576022
4210,NaHCO3 U,0.778293794372577
4264,Na2SO4 L + NaHCO3 U,0.792483147229367
4291,Na2SO4 L + NaHCO3 U,0.792467894663259
4279,NaHCO3 U + NaCl U,0.788345376957567
