variable,abio_0,abio_25,abio_50,abio_75,abio_100,bio_0,bio_25,bio_50,bio_75,bio_100
max_kl_shift,-0.962152784459749,-0.241588505464154,-0.0013990980787698,0.226710335047883,3.56875973950829,-0.990105806679182,-0.85651909473502,-0.348312206519569,-0.156270827461378,0.0952743051569069
fluctanal_prop_r1,-1.87071965760842,-1.87071965760842,0.0553467354321879,0.697368866445754,2.62343525948636,-1.87071965760842,0.0553467354321879,0.697368866445754,0.697368866445754,2.62343525948636
localsimple_taures,-3.8081208837877,-0.264735676413049,0.621110625430614,0.621110625430614,0.621110625430614,-0.264735676413049,-0.264735676413049,0.621110625430614,0.621110625430614,0.621110625430614
avg_rR45CO244CO2,-2.42357916166653,-0.422236457195896,0.150775041436186,0.794308858883192,2.46010934308435,-2.45043107387212,-0.635313330568432,-0.191869957828607,0.392754971338857,1.23203949843554
time_level_shift,-3.66729369205478,0.238535930984207,0.255972670372774,0.30247064207562,0.308282888538475,0.232723684521352,0.232723684521352,0.30247064207562,0.308282888538475,0.308282888538475
diff2x_pacf5,-1.32733967568708,-0.800047045300541,-0.267115770287918,1.24286631597691,2.8948702918557,-1.14328619822777,-0.591100422399186,-0.495954881715463,-0.190271534112285,1.37199693129321
diff1x_pacf5,-1.56963687445422,-0.849946240048529,-0.205208961587931,1.31863899479176,2.66316531903473,-1.34909335076294,-0.617301153959908,-0.503381553507225,-0.11264835400753,1.51185032875792
time_var_shift,-3.66245061661538,0.238835832815108,0.256304279603603,0.302886804372922,0.308709619969087,0.233013017218943,0.233013017218943,0.302886804372922,0.302886804372922,0.308709619969087
diff2_acf10,-1.00355273090842,-0.695578686876418,-0.348187108807211,1.14330514752248,2.74207839710466,-0.947801967338214,-0.622147549715833,-0.554682161251981,-0.325627144859151,1.30450916503703
